policy_id,algorithm,availability,budget,history_available,selected_subset,source_model,chosen_model,chosen_subset,chosen_config,uses_history,selected_additional_items,selected_items,development_oof_log_loss,selected_config_json,blocks_json,domain,n,reference_label,reference_model,self_contrast,family_unique_nonself_contrasts,q_primary_absolute,q_standardized,inference_status,delta_log_loss,benefit_log_loss,bootstrap_se,marginal_delta95_low,marginal_delta95_high,marginal_delta_upper95,marginal_benefit95_low,marginal_benefit95_high,marginal_benefit_lower95,primary_delta_upper95,standardized_delta_upper95,primary_benchmark_or_full_superiority,standardized_benchmark_or_full_superiority,marginal_superiority_unadjusted,critical_primary,critical_standardized,critical_marginal_normal,critical_marginal_bootstrap,mdd80_primary_normal,mdd80_standardized_normal,mdd80_marginal_normal,mdd80_primary_bootstrap_shift,mdd80_standardized_bootstrap_shift,mdd80_marginal_bootstrap_shift
ridge|history_unavailable|budget=01,ridge,history_unavailable,1,False,B,ridge::B,ridge::B,B,0.1,False,1,1,0.6777381954029948,0.1,"[""B""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.008203755818482983,0.008203755818482983,0.0032422692333455025,-0.014507855303751788,-0.0019165049046215663,-0.0027931336811956144,0.0019165049046215663,0.014507855303751788,0.0027931336811956144,0.014921299325841453,0.0002482162897054982,False,False,True,0.023125055144324436,0.008451972108188481,0.005333058308021519,0.0054106221372873685,0.025853817776068187,0.01118073473993223,0.008061820939765266,0.025936893591953593,0.011263810555817638,0.008222460584916524
ridge|history_unavailable|budget=04,ridge,history_unavailable,4,False,D,ridge::D,ridge::D,D,1.0,False,4,4,0.6621656516928427,1.0,"[""D""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.02501758035370849,-0.02501758035370849,0.007864672637809855,0.00945661477065427,0.03978472484102152,0.03769763940660193,-0.03978472484102152,-0.00945661477065427,-0.03769763940660193,0.048142635498032924,0.04551926882891681,False,False,False,0.023125055144324436,0.020501688475208325,0.012936235313087541,0.012680059052893438,0.029744130631405113,0.027120763962289,0.019555310800168216,0.029941556737429622,0.02731819006831351,0.019496560645998622
ridge|history_unavailable|budget=11,ridge,history_unavailable,11,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.03538379144011705,-0.03538379144011705,0.010673211288085358,0.014029807466322979,0.05633966862410325,0.05263677004914867,-0.05633966862410325,-0.014029807466322979,-0.05263677004914867,0.058508846584441485,0.06320679983927394,False,False,False,0.023125055144324436,0.02782300839915689,0.017555870298426594,0.017252978609031615,0.032107856394787186,0.036805809649619645,0.026538671548889343,0.032361006238627185,0.037058959493459644,0.026488929703334368
ridge|history_unavailable|budget=30,ridge,history_unavailable,30,False,D_B_P_A_K,ridge::D_B_P_A_K,ridge::D_B_P_A_K,D_B_P_A_K,1.0,False,28,28,0.645554504910448,1.0,"[""D"", ""B"", ""P"", ""A"", ""K""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.020237323989538702,-0.020237323989538702,0.010930418510579284,-0.0016012005786483659,0.04183840415831694,0.03808462906359451,-0.04183840415831694,0.0016012005786483659,-0.03808462906359451,0.043362379133863135,0.048730822133404475,False,False,False,0.023125055144324436,0.028493498143865776,0.017978938531223846,0.017847305074055807,0.03232432745466639,0.037692770454207734,0.027178210841565797,0.03209531474784135,0.03746375774738269,0.026817564677572722
ridge|history_unavailable|budget=01,ridge,history_unavailable,1,False,B,ridge::B,ridge::B,B,0.1,False,1,1,0.6777381954029948,0.1,"[""B""]",disjoint,879,benchmark,ridge::NONE,False,21,0.03103450671618057,2.5752381693336783,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.007060745992827688,0.007060745992827688,0.00430974809302541,-0.015063337161845599,0.0016488525819385053,0.00026246573505453365,-0.0016488525819385053,0.015063337161845599,-0.00026246573505453365,0.02397376072335288,0.004037881796544379,False,False,False,0.03103450671618057,0.011098627789372068,0.007088904782060036,0.007323211727882222,0.03466168222262113,0.014725803295812629,0.010716080288500596,0.034513165975205276,0.014577287048396776,0.01080187098690693
ridge|history_unavailable|budget=04,ridge,history_unavailable,4,False,D,ridge::D,ridge::D,D,1.0,False,4,4,0.6621656516928427,1.0,"[""D""]",disjoint,879,benchmark,ridge::NONE,False,21,0.03103450671618057,2.5752381693336783,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05122799924545696,-0.05122799924545696,0.011036531504008927,0.02944637746656562,0.0723643303043514,0.06923228121013261,-0.0723643303043514,-0.02944637746656562,-0.06923228121013261,0.08226250596163753,0.07964969643163437,False,False,False,0.03103450671618057,0.028421697186177416,0.01815347887333327,0.01800428196467566,0.04032308597495089,0.03771027644494774,0.02744205813210359,0.04023052185364361,0.03761771232364046,0.027200297102138702
ridge|history_unavailable|budget=11,ridge,history_unavailable,11,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",disjoint,879,benchmark,ridge::NONE,False,21,0.03103450671618057,2.5752381693336783,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.06546815870035594,-0.06546815870035594,0.014258230685424667,0.03753928273758286,0.09370514083933407,0.08866874494684024,-0.09370514083933407,-0.03753928273758286,-0.08866874494684024,0.09650266541653651,0.10218649858862623,False,False,False,0.03103450671618057,0.03671833988827029,0.02345270245683154,0.023200586246484304,0.043034536414214855,0.048718369586304586,0.03545273215486582,0.04317319792950131,0.048857031101591036,0.035339277459805044
ridge|history_unavailable|budget=30,ridge,history_unavailable,30,False,D_B_P_A_K,ridge::D_B_P_A_K,ridge::D_B_P_A_K,D_B_P_A_K,1.0,False,28,28,0.645554504910448,1.0,"[""D"", ""B"", ""P"", ""A"", ""K""]",disjoint,879,benchmark,ridge::NONE,False,21,0.03103450671618057,2.5752381693336783,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.056061018660220396,-0.056061018660220396,0.014790922744475809,0.026318339466231945,0.08467028270981858,0.08063373955683599,-0.08467028270981858,-0.026318339466231945,-0.08063373955683599,0.08709552537640097,0.09415116747146014,False,False,False,0.03103450671618057,0.038090148811239746,0.024328902922210058,0.024572720896615597,0.04348286136206798,0.050538503457127154,0.03677725756809746,0.04366061201153081,0.05071625410658999,0.03719882619196584
ridge|history_available|budget=01,ridge,history_available,1,True,H_B,ridge::H_B,ridge::H_B,H_B,1.0,True,1,1,0.6578158495921907,1.0,"[""H"", ""B""]",whole,1520,benchmark,P0,False,25,0.02229214816222482,2.65580397971585,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.003380886500801372,0.003380886500801372,0.0024230667534464326,-0.008054499711388033,0.0013511408885207299,0.0005064763691249741,-0.0013511408885207299,0.008054499711388033,-0.0005064763691249741,0.01891126166142345,0.0030543038261188274,False,False,False,0.02229214816222482,0.0064351903269202,0.003985590137751893,0.0038873628699263463,0.024331452592289925,0.008474494756985303,0.006024894567816996,0.024410220916564817,0.008553263081260195,0.006005435624266342
ridge|history_available|budget=04,ridge,history_available,4,True,H_D,ridge::H_D,ridge::H_D,H_D,1.0,True,4,4,0.6396754472363618,1.0,"[""H"", ""D""]",whole,1520,benchmark,P0,False,25,0.02229214816222482,2.65580397971585,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.035710942588718764,-0.035710942588718764,0.008321102579471584,0.018934719705642374,0.050847234552690614,0.04891114370125624,-0.050847234552690614,-0.018934719705642374,-0.04891114370125624,0.058003090750943585,0.057810159934903224,False,False,False,0.02229214816222482,0.022099217346184457,0.013686995758079086,0.013200201112537474,0.029295364779846456,0.02910243396380609,0.020690212375700717,0.029514675765040476,0.02932174494900011,0.02042272871535313
ridge|history_available|budget=11,ridge,history_available,11,True,H_D_B_M_A,ridge::H_D_B_M_A,ridge::H_D_B_M_A,H_D_B_M_A,1.0,True,7,7,0.6362310759849575,1.0,"[""H"", ""D"", ""B"", ""M"", ""A""]",whole,1520,benchmark,P0,False,25,0.02229214816222482,2.65580397971585,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.0532688948556137,-0.0532688948556137,0.01035219431447045,0.03223132298902129,0.0733205129133029,0.06988658995917929,-0.0733205129133029,-0.03223132298902129,-0.06988658995917929,0.07556104301783853,0.08076229371477611,False,False,False,0.02229214816222482,0.027493398859162417,0.01702784436506313,0.01661769510356558,0.031004774711355952,0.03620602540829355,0.025740470914194256,0.031146364386244095,0.03634761508318169,0.025471911327584855
ridge|history_available|budget=30,ridge,history_available,30,True,H_D_B_M_P_A_K,ridge::H_D_B_M_P_A_K,ridge::H_D_B_M_P_A_K,H_D_B_M_P_A_K,1.0,True,29,29,0.6292921291184919,1.0,"[""H"", ""D"", ""B"", ""M"", ""P"", ""A"", ""K""]",whole,1520,benchmark,P0,False,25,0.02229214816222482,2.65580397971585,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.038457038432437196,-0.038457038432437196,0.01052621769592646,0.016725754795144935,0.0590057459627325,0.05544129974840354,-0.0590057459627325,-0.016725754795144935,-0.05544129974840354,0.06074918659466202,0.0664126092806341,False,False,False,0.02229214816222482,0.027955570848196897,0.017314087355225407,0.016984261315966344,0.031151236484327487,0.036814659170299566,0.026173175677328072,0.031234190993061614,0.03689761367903369,0.025926304146803136
ridge|history_available|budget=01,ridge,history_available,1,True,H_B,ridge::H_B,ridge::H_B,H_B,1.0,True,1,1,0.6578158495921907,1.0,"[""H"", ""B""]",disjoint,879,benchmark,P0,False,25,0.029735024026618886,2.623851463746673,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.003815201176300076,0.003815201176300076,0.0032844730092763965,-0.010077542072754051,0.002687055084261026,0.0015938786585478915,-0.002687055084261026,0.010077542072754051,-0.0015938786585478915,0.02591982285031881,0.004802768136726237,False,False,False,0.029735024026618886,0.008617969313026313,0.005402477341932497,0.0054090798348479675,0.03249930625232303,0.011382251538730456,0.00816675956763664,0.03248373297588524,0.011366678262292667,0.008157788784114321
ridge|history_available|budget=04,ridge,history_available,4,True,H_D,ridge::H_D,ridge::H_D,H_D,1.0,True,4,4,0.6396754472363618,1.0,"[""H"", ""D""]",disjoint,879,benchmark,P0,False,25,0.029735024026618886,2.623851463746673,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.049879667887185786,-0.049879667887185786,0.011481266504554919,0.02682137098138278,0.07215846037284342,0.06844277736334664,-0.07215846037284342,-0.02682137098138278,-0.06844277736334664,0.07961469191380467,0.08000480581082786,False,False,False,0.029735024026618886,0.030125137923642076,0.01888500285201361,0.01856310947616086,0.039397901705161775,0.039788015602184965,0.0285478805305565,0.0395935288757298,0.039983642772752986,0.028421614325271766
